Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Tan C.K., Ng J.C., Xu X., Poh C.L., Guan Y.L., Sheah K.",Security protection of DICOM medical images using dual-layer reversible watermarking with tamper detection capability,2011,Journal of Digital Imaging,24,3,,528,540,,25,10.1007/s10278-010-9295-4,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052910277&partnerID=40&md5=64083f62e96bef793b273a9e24f2d6c5,"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore, Singapore; School of Chemical and Biomedical Engineering, Nanyang Technological University, 70 Nanyang Drive, 637457, Singapore, Singapore; Department of Diagnostic Radiology, Changi General Hospital, Singapore, Singapore","Tan, C.K., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore, Singapore; Ng, J.C., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore, Singapore; Xu, X., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore, Singapore; Poh, C.L., School of Chemical and Biomedical Engineering, Nanyang Technological University, 70 Nanyang Drive, 637457, Singapore, Singapore; Guan, Y.L., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore, Singapore; Sheah, K., Department of Diagnostic Radiology, Changi General Hospital, Singapore, Singapore","Teleradiology applications and universal availability of patient records using web-based technology are rapidly gaining importance. Consequently, digital medical image security has become an important issue when images and their pertinent patient information are transmitted across public networks, such as the Internet. Health mandates such as the Health Insurance Portability and Accountability Act require healthcare providers to adhere to security measures in order to protect sensitive patient information. This paper presents a fully reversible, dual-layer watermarking scheme with tamper detection capability for medical images. The scheme utilizes concepts of public-key cryptography and reversible data-hiding technique. The scheme was tested using medical images in DICOM format. The results show that the scheme is able to ensure image authenticity and integrity, and to locate tampered regions in the images. Copyright © 2010 by Society for Imaging Informatics in Medicine.",Digital watermark; Image authentication; Public-key cryptography; Security; Teleradiology,Article,Scopus,2-s2.0-80052910277
"Li J., Huang Q., Chen X., Chow S.S.M., Wong D.S., Xie D.",Multi-authority ciphertext-policy attribute-based encryption with accountability,2011,"Proceedings of the 6th International Symposium on Information, Computer and Communications Security, ASIACCS 2011",,,,386,390,,28,10.1145/1966913.1966964,http://www.scopus.com/inward/record.url?eid=2-s2.0-79956037222&partnerID=40&md5=9b2d0f62c72d62145b373e1baa73bc06,"Department of Computer Science, Guangzhou University, Guangzhou, China; Department of Computer Science City, University of Hong Kong, Hong Kong, Hong Kong; Key Laboratory of Computer Networks and Information Security, Xidian University, China; Department of Combinatorics and Optimization, University of Waterloo, Waterloo, ON, Canada","Li, J., Department of Computer Science, Guangzhou University, Guangzhou, China; Huang, Q., Department of Computer Science City, University of Hong Kong, Hong Kong, Hong Kong; Chen, X., Key Laboratory of Computer Networks and Information Security, Xidian University, China; Chow, S.S.M., Department of Combinatorics and Optimization, University of Waterloo, Waterloo, ON, Canada; Wong, D.S., Department of Computer Science City, University of Hong Kong, Hong Kong, Hong Kong; Xie, D., Department of Computer Science, Guangzhou University, Guangzhou, China","Attribute-based encryption (ABE) is a promising tool for implementing fine-grained cryptographic access control. Very recently, motivated by reducing the trust assumption on the authority, and enhancing the privacy of users, a multiple-authority key-policy ABE system, together with a semi- generic anonymous key-issuing protocol, have been proposed by Chase and Chow in CCS 2009. Since ABE allows encryption for multiple users with attributes satisfying the same policy, it may not be always possible to associate a decryption key to a particular individual. A misbehaving user could abuse the anonymity by leaking the key to someone else, without worrying of being traced. In this paper, we propose a multi-authority ciphertext-policy (AND gates with wild-card) ABE scheme with accountability, which allows tracing the identity of a misbehaving user who leaked the decryption key to others, and thus reduces the trust assumptions not only on the authorities but also the users. The tracing process is efficient and its computational overhead is only proportional to the length of the identity. Copyright 2011 ACM.",Access control; Accountability; Anonymity; Attribute-based encryption; Ciphertext-policy; Multi-authority; Policy-privacy,Conference Paper,Scopus,2-s2.0-79956037222
"Meng B., Shao F., Huang W.",A computer-assisted framework for accountability of electronic payment protocol in computational model,2011,International Journal of Advancements in Computing Technology,3,4,,49,65,,5,10.4156/ijact.vol3.issue4.6,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955930852&partnerID=40&md5=5debc26a1419ed14cddf8f0a8871b4ae,"School of Computer, South-Center University for Nationalities, Wuhan, China; School of Computer, South-Center University for Nationalities, Wuhan, China","Meng, B., School of Computer, South-Center University for Nationalities, Wuhan, China; Shao, F., School of Computer, South-Center University for Nationalities, Wuhan, China; Huang, W., School of Computer, South-Center University for Nationalities, Wuhan, China","Computer aided proof for electronic payment protocol plays an important role in security protocol world. To our best knowledge, until now it does not have that analysis of accountability and electronic payment protocols with automatic tool in computational model. So in this study we propose the first automatic framework of accountability and electronic payment protocols based on computational model with active adversary. In our proposed framework correspondence assertion is used to model money accountability and goods accountability. The proposed mechanized framework can be used to automatically analyze money accountability and goods accountability of electronic payment protocols with the mechanized tool CryptoVerif.",Automatic proof; Computational model; Correspondence assertion; Goods accountability; Money accountability,Article,Scopus,2-s2.0-79955930852
"Rothenberg C.E., MacApuna C.A.B., Magalhaes M.F., Verdi F.L., Wiesmaier A.",In-packet Bloom filters: Design and networking applications,2011,Computer Networks,55,6,,1364,1378,,7,10.1016/j.comnet.2010.12.005,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953777367&partnerID=40&md5=f13edf8a375426b9ff9e31d6df76d412,"University of Campinas (Unicamp), School of Electrical and Computer Engineering, Brazil; Federal University of São Carlos (UFSCar), Campus Sorocaba, Brazil; Technische Universität Darmstadt/CASED, Germany","Rothenberg, C.E., University of Campinas (Unicamp), School of Electrical and Computer Engineering, Brazil; MacApuna, C.A.B., University of Campinas (Unicamp), School of Electrical and Computer Engineering, Brazil; Magalhães, M.F., University of Campinas (Unicamp), School of Electrical and Computer Engineering, Brazil; Verdi, F.L., Federal University of São Carlos (UFSCar), Campus Sorocaba, Brazil; Wiesmaier, A., Technische Universität Darmstadt/CASED, Germany","The Bloom filter (BF) is a well-known randomized data structure that answers set membership queries with some probability of false positives. In an attempt to solve many of the limitations of current network architectures, some recent proposals rely on including small BFs in packet headers for routing, security, accountability or other purposes that move application states into the packets themselves. In this paper, we consider the design of such in-packet Bloom filters (iBF). Our main contributions are exploring the design space and the evaluation of a series of extensions (1) to increase the practicality and performance of iBFs, (2) to enable false-negative-free element deletion, and (3) to provide security enhancements. In addition to the theoretical estimates, extensive simulations of the multiple design parameters and implementation alternatives validate the usefulness of the extensions, providing for enhanced and novel iBF networking applications. © 2010 Elsevier B.V. All rights reserved.",Algorithms; Bloom filter; Distributed systems; Inter-networking; Packet forwarding,Article,Scopus,2-s2.0-79953777367
Meng B.,Computer aided verification of accountability in electronic payment protocol with cryptoverif,2011,International Journal of Advancements in Computing Technology,3,3,,68,88,,3,10.4156/ijact.vol3.issue3.7,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955940869&partnerID=40&md5=9f0befd9e9d0c9c986b383fd30a59c89,"School of Computers, South-Center University for Nationalities, Wuhan, China","Meng, B., School of Computers, South-Center University for Nationalities, Wuhan, China","During the past few decades electronic payment protocols has been studied. A lot of electronic payment protocols, for example, 3KP, SET, have been proposed which claimed that have security properties. To our best knowledge, till now analysis of 3KP protocol has not with automatic tool in computational model. Recently owning to the contribution of Meng et al., 3KP protocol can be analyzed with automatic tool in computational model. In this study firstly the state-of-art of electronic payment protocol and the proof are presented. Then the term, process and correspondence assertion in Blanchet calculus are used to model accountability and 3KP protocol with Meng et al. mechanized framework of electronic payment protocols in computational model with active adversary. Finally, 3KP protocol is analyzed in Meng et al. framework with mechanized tool Crypto Verif. The result shows that 3KP protocol has money accountability and goods accountability, which is consistent with its claim. To our knowledge, we are conducting the first automatic analysis of 3KP protocol in computational model.",Computational model; Goods accountability; Mechanized proof; Money accountability,Article,Scopus,2-s2.0-79955940869
Weber R.H.,Accountability in the Internet of Things,2011,Computer Law and Security Review,27,2,,133,138,,10,10.1016/j.clsr.2011.01.005,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953100622&partnerID=40&md5=835579b292be9b733dcde32d4a109d10,"University of Zurich, Switzerland","Weber, R.H., University of Zurich, Switzerland","Accountability of governing bodies in the Internet of Things (IoT) is of major importance and requires a partly different approach than applied in the (general) Internet. Improving accountability makes the implementation of new general principles necessary in order to provide for a stable and foreseeable legal framework on which businesses can rely. In particular, standards need to be introduced that hold governing bodies accountable, information should be made more readily available and beneficiaries of accountability must be able to impose some sort of sanction on the accountable in case of non-compliance. Improving accountability by creating such framework also supports the betterment of security in the Internet of Things. © 2011 Hogan Lovells. Published by Elsevier Ltd. All rights reserved.",Accountability; Legitimacy; Sanctions; Standards; Surveillance,Article,Scopus,2-s2.0-79953100622
"Huang H.-F., Liu K.-C.",Efficient key management for preserving HIPAA regulations,2011,Journal of Systems and Software,84,1,,113,119,,3,10.1016/j.jss.2010.08.056,http://www.scopus.com/inward/record.url?eid=2-s2.0-78649317684&partnerID=40&md5=26a0c095e4e70f42f8ab1875c0fcb4d4,"Department of Computer Science and Information Engineering, National Taichung Institute of Technology, Taichung 404, Taiwan; Department of Medical Laboratory Science and Biotechnology, China Medical University, Taichung 404, Taiwan","Huang, H.-F., Department of Computer Science and Information Engineering, National Taichung Institute of Technology, Taichung 404, Taiwan; Liu, K.-C., Department of Medical Laboratory Science and Biotechnology, China Medical University, Taichung 404, Taiwan","The protection of patients' health information is a very important issue in the information age. Health Insurance Portability and Accountability Act (HIPAA) of privacy and security regulations are two crucial provisions in the protection of healthcare privacy, especially electronic medical information. For the quality and efficiency of the electronic services, it is necessary to construct better performance for the user and the trusted party. Based on elliptic curve cryptography (ECC) and complying with HIPAA regulations, this article presents an efficient key management scheme to facilitate inter-operations among the applied cryptographic mechanisms. In addition, the proposed scheme can achieve the complete functionality which includes: (1) a dictionary of key tables is not required for users and other units; (2) users can freely choose their own passwords; (3) users can freely update their passwords after the registration phase; (4) the computational cost is very low for users and the trusted center or server; (5) users are able to access their individual medical information through the authorization process; (6) case of consent exceptions intended to facilitate emergency applications or other possible exceptions can also be dealt with easier. © 2010 Elsevier Inc.",Cryptography; HIPAA; Privacy; Protected health information; Security,Conference Paper,Scopus,2-s2.0-78649317684
Moreau L.,The foundations for provenance on the Web,2010,Foundations and Trends in Web Science,2,2-3,,99,241,,80,10.1561/1800000010,http://www.scopus.com/inward/record.url?eid=2-s2.0-78650064937&partnerID=40&md5=f9304e5f8baa2384c8dfba944c45c70a,"University of Southampton, United Kingdom","Moreau, L., University of Southampton, United Kingdom","Provenance, i.e., the origin or source of something, is becoming an important concern, since it offers the means to verify data products, to infer their quality, to analyse the processes that led to them, and to decide whether they can be trusted. For instance, provenance enables the reproducibility of scientific results; provenance is necessary to track attribution and credit in curated databases; and, it is essential for reasoners to make trust judgements about the information they use over the Semantic Web. As the Web allows information sharing, discovery, aggregation, filtering and flow in an unprecedented manner, it also becomes very difficult to identify, reliably, the original source that produced an information item on the Web. Since the emerging use of provenance in niche applications is undoubtedly demonstrating the benefits of provenance, this monograph contends that provenance can and should reliably be tracked and exploited on the Web, and investigates the necessary foundations to achieve such a vision. Multiple data sources have been used to compile the largest bibliographical database on provenance so far. This large corpus permits the analysis of emerging trends in the research community. Specifically, the CiteSpace tool identifies clusters of papers that constitute research fronts, from which characteristics are extracted to structure a foundational framework for provenance on the Web. Such an endeavour requires a multi-disciplinary approach, since it requires contributions from many computer science sub-disciplines, but also other non-technical fields given the human challenge that is anticipated. To develop such a vision, it is necessary to provide a definition of provenance that applies to the Web context. A conceptual definition of provenance is expressed in terms of processes, and is shown to generalise various definitions of provenance commonly encountered. Furthermore, by bringing realistic distributed systems assumptions, this definition is refined as a query over assertions made by applications. Given that the majority of work on provenance has been undertaken by the database, workflow and e-science communities, some of their work is reviewed, contrasting approaches, and focusing on important topics believed to be crucial for bringing provenance to the Web, such as abstraction, collections, storage, queries, workflow evolution, semantics and activities involving human interactions. However, provenance approaches developed in the context of databases and workflows essentially deal with closed systems. By that, it is meant that workflow or database management systems are in full control of the data they manage, and track their provenance within their own scope, but not beyond. In the context of the Web, a broader approach is required by which chunks of provenance representation can be brought together to describe the provenance of information flowing across multiple systems. For this purpose, this monograph puts forward the Open Provenance Vision, which is an approach that consists of controlled vocabulary, serialisation formats and interfaces to allow the provenance of individual systems to be expressed, connected in a coherent fashion, and queried seamlessly. In this context, the Open Provenance Model is an emerging community-driven representation of provenance, which has been actively used by some 20 teams to exchange provenance information, in line with the Open Provenance Vision. After identifying an open approach and a model for provenance, techniques to expose provenance over the Web are investigated. In particular, Semantic Web technologies are discussed since they have been successfully exploited to express, query and reason over provenance. Symmetrically, Semantic Web technologies such as RDF, underpinning the Linked Data effort, are analysed since they offer their own difficulties with respect to provenance. A powerful argument for provenance is that it can help make systems transparent, so that it becomes possible to determine whether a particular use of information is appropriate under a set of rules. Such capability helps make systems and information accountable. To offer accountability, provenance itself must be authentic, and rely on security approaches, which are described in the monograph. This is then followed by systems where provenance is the basis of an auditing mechanism to check past processes against rules or regulations. In practice, not all users want to check and audit provenance, instead, they may rely on measures of quality or trust; hence, emerging provenance-based approaches to compute trust and quality of data are reviewed. © 2010 L. Moreau.",,Article,Scopus,2-s2.0-78650064937
"Wu K., Zhou J.",Research of accident management information system for hydropower projects,2010,"ICCASM 2010 - 2010 International Conference on Computer Application and System Modeling, Proceedings",2,,5620828,V2358,V2361,,,10.1109/ICCASM.2010.5620828,http://www.scopus.com/inward/record.url?eid=2-s2.0-78649615136&partnerID=40&md5=d084f74ac59b8e48aab6f041b1dd778d,"Department of Control Science and Engineering, Huazhong University of Science and Technology, Wuhan, Hubei, 430074, China","Wu, K., Department of Control Science and Engineering, Huazhong University of Science and Technology, Wuhan, Hubei, 430074, China; Zhou, J., Department of Control Science and Engineering, Huazhong University of Science and Technology, Wuhan, Hubei, 430074, China","In order to handle accidents seriously, strengthen the accountability and promote further implementation of responsibility system for production safety, it is necessary to establish a scientific and comprehensive accident management regulation by using advanced information technology to standardize the process of accident management. Beginning with research status, this paper analyzes the shortcomings of current accident management, then proposes the functional requirement of accident management information system and describes the function design as well as the database design. Further more, this paper proposes a solution to solve problems of multi-system integration and data-sharing. © 2010 IEEE.",Accdient; Database); Management; Requirement; Responsibility; System,Conference Paper,Scopus,2-s2.0-78649615136
"Swamynathan G., Almeroth K.C., Zhao B.Y.",The design of a reliable reputation system,2010,Electronic Commerce Research,10,3,,239,270,,25,10.1007/s10660-010-9064-y,http://www.scopus.com/inward/record.url?eid=2-s2.0-78249274196&partnerID=40&md5=dd8d2a8a4385b2affac3a8a58a9fa53c,"Department of Computer Science, University of California, Santa Barbara, CA 93106-5110, United States","Swamynathan, G., Department of Computer Science, University of California, Santa Barbara, CA 93106-5110, United States; Almeroth, K.C., Department of Computer Science, University of California, Santa Barbara, CA 93106-5110, United States; Zhao, B.Y., Department of Computer Science, University of California, Santa Barbara, CA 93106-5110, United States","Next generation Web 2.0 communities and distributed P2P systems rely on the cooperation of diverse user populations spread across numerous administrative and security domains. Zero accountability via anonymous online identities and divergent interests result in selfish behavior that can disrupt or manipulate networks for personal gain. While ""reputation systems"" are recognized as a promising means to establish social control for such communities, developing reliable reputation systems remains a challenge. Several unaddressed threats still limit the effectiveness of reputation systems. Furthermore, most existing work on reputations has focused on accurate reputations for stable systems, but not examined the implications of integrating user reputations into scalable distributed infrastructures. The primary goal of this paper is to investigate and address the critical open challenges that limit the effectiveness of reputations. First, we identify a thorough taxonomy on reputation management, and use it as our framework to classify adversarial threats that compromise reliable operation of reputation systems. Second, we survey existing research to address these threats. Finally, we present our solutions to address the two leading reasons for erroneous and misleading values produced by reputation systems today, i.e., user collusion and short-lived online identities. We believe that this paper not only serves as an introduction to reputation systems design, but will also help researchers deploy reliable reputation solutions that contribute towards improving the performance of large distributed applications. © The Author(s) 2010.",Peer-to-peer systems; Reputation; Security; Trust,Article,Scopus,2-s2.0-78249274196
"Sallay H., Al-Shalfan K.",A standard-compliant integrated security framework,2010,"Advances in E-Activities, Information Security and Privacy - 9th WSEAS Int. Conference on E-Activities, E-ACTIVITIES'10, 9th WSEAS Int. Conference on Information Security and Privacy, ISP'10",,,,77,84,,1,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79958743279&partnerID=40&md5=7b39aaa4a0f17e9244235c5e6410bb44,"Research Center and Scientific Consultations, College of Computer Science and Information Systems, Al-Imam Mohammad Bin Saud Islamic University, PO Box 84880, Riyadh 11681, Saudi Arabia","Sallay, H., Research Center and Scientific Consultations, College of Computer Science and Information Systems, Al-Imam Mohammad Bin Saud Islamic University, PO Box 84880, Riyadh 11681, Saudi Arabia; Al-Shalfan, K., Research Center and Scientific Consultations, College of Computer Science and Information Systems, Al-Imam Mohammad Bin Saud Islamic University, PO Box 84880, Riyadh 11681, Saudi Arabia","Security intrusion incidents have dramatically risen over the last decade. The organizations are becoming more and more aware of the importance of safeguarding their critical information. They need also to measure the degree of compliance of their security measures with the standards to enhance their degree of security, avoid the lack of accountability problem, and satisfy the regulatory obligations. While there are many tools and practices that can reduce security risks, there is a real need for security framework that specifies a security model and architecture in order to satisfy these security requirements. In this paper, we propose a preliminary specification of such a framework. A security model as well as an architecture able to perform automated and procedural security safeguards are proposed. In addition, an implementation guideline of the proposed architecture (AMANSystem) based on active network approach is presented.",Active technology; Architecture; Compliance; Policies; Security,Conference Paper,Scopus,2-s2.0-79958743279
"Supriyanto E., Satria H., Siong T.K.",Medical data security model for Early Intervention Support System based on HIPAA,2010,"9th WSEAS International Conference on Telecommunications and Informatics, TELE-INFO '10",,,,128,131,,2,,http://www.scopus.com/inward/record.url?eid=2-s2.0-77956992574&partnerID=40&md5=d8d012e94e2e282c5a102d3f81ea03c7,"Faculty of Health Science and Biomedical Engineering, Universiti Teknologi Malaysia UTM, Skudai, 81310 Johor, Malaysia","Supriyanto, E., Faculty of Health Science and Biomedical Engineering, Universiti Teknologi Malaysia UTM, Skudai, 81310 Johor, Malaysia; Satria, H., Faculty of Health Science and Biomedical Engineering, Universiti Teknologi Malaysia UTM, Skudai, 81310 Johor, Malaysia; Siong, T.K., Faculty of Health Science and Biomedical Engineering, Universiti Teknologi Malaysia UTM, Skudai, 81310 Johor, Malaysia","Early Intervention Support System for Special Children (ELISSA) is an effective tool to improve the special children developmental ability. As the system stores sensitive personal data such as children medical data, it is crucial to have an adequate data security model for the system. The existing system however only uses conventional insecure login method, and this may cause information leakage. Hence, we propose a novel medical data security model that integrate security features based on Health Information Portability and Accountability Act (HIPAA) in a Universal Serial Bus (USB) dongle. Advanced Encryption Standard (AES)-256 has been implemented and new file format .els has been introduced. The model complies to the HIPAA Security Rule includes access control, audit control, person authorization, integrity and transmission security. It has been successfully integrated with the support system. Test result shows that the model is able to improve ELISSA security and compatible with Linux and Microsoft Windows operating system.",AES; ELISSA; HIPAA; Medical data; Security model; USB dongle,Conference Paper,Scopus,2-s2.0-77956992574
Alrajeh N.A.,HIPAA based Healthcare Information Security Qualitative Assessment application of Information Security for Saudi Hospitals,2010,"Proceedings of the IADIS International Conference e-Health 2010, EH, Part of the IADIS Multi Conference on Computer Science and Information Systems 2010, MCCSIS 2010",,,,199,204,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955152441&partnerID=40&md5=ca6e44c681494617f33e5a75bc38cf2d,"Biomedical Technology Department, College of Applied Medical Sciences, King Saud University, Saudi Arabia, P.O. Box 91138, Riyadh 11633, Saudi Arabia","Alrajeh, N.A., Biomedical Technology Department, College of Applied Medical Sciences, King Saud University, Saudi Arabia, P.O. Box 91138, Riyadh 11633, Saudi Arabia","The present paper deals with HIPAA (Health Health and Insurance Portability and Accountability Act) based Qualitative Assessment of the measures undertaken to ensure Information Security in e-Health Systems. It presents and discusses in particular an ""on the ground"" experiment targeting the assessment of Healthcare Information System (HIS) Security in 2 majors Saudi University Hospitals (KSUH): KKUH-King Khalid University Hospital including KAUH King Abdulaziz university hospital and KFMC-King Fahd Medical City. The paper describes the proposed HIPAA based Qualitative assessment and its related checklists. It presents the findings related to this approach application led into two Saudi Hospitals, as well as the recommendations emitted to fill the identified gap. © 2010 IADIS.",Development influential factors; E-Health; Healthcare information security; HIPAA; Qualitative assessment,Conference Paper,Scopus,2-s2.0-79955152441
"Malone P., McGibney J., Botvich D., McLaughlin M.",Implementing a trust overlay framework for digital ecosystems,2010,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering",67 LNICST,,,178,191,,,10.1007/978-3-642-14859-0_14,http://www.scopus.com/inward/record.url?eid=2-s2.0-84885883736&partnerID=40&md5=8b5a0c059b91bd8c9396253c1261015d,"Waterford Institute of Technology, Waterford, Ireland","Malone, P., Waterford Institute of Technology, Waterford, Ireland; McGibney, J., Waterford Institute of Technology, Waterford, Ireland; Botvich, D., Waterford Institute of Technology, Waterford, Ireland; McLaughlin, M., Waterford Institute of Technology, Waterford, Ireland","Digital Ecosystems, being decentralised in nature, are inherently untrustworthy environments. This is due to the fact that these environments lack a centralised gatekeeper and identity provider. In order for businesses to operate in these environments there is a need for security measures to support accountability and traceability. This paper describes a trust overlay network developed in the OPAALS project1 to allow entities participating in digital ecosystems to share experience through the exchange of trust values and to leverage on this network to determine reputation based trustworthiness of unknown and initially untrusted entities. An overlay network is described together with sample algorithms and a discussion on implementation. © Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2010.",Digital ecosystem; Rust; Security,Conference Paper,Scopus,2-s2.0-84885883736
Heyer C.,Human-robot interaction and future industrial robotics applications,2010,"IEEE/RSJ 2010 International Conference on Intelligent Robots and Systems, IROS 2010 - Conference Proceedings",,,5651294,4749,4754,,21,10.1109/IROS.2010.5651294,http://www.scopus.com/inward/record.url?eid=2-s2.0-78651494663&partnerID=40&md5=2362c67e1eddd5c538e92b79a17be7d8,"ABB Strategic R and D for Oil, Gas and Petrochemicals, Oslo, 0553, Norway","Heyer, C., ABB Strategic R and D for Oil, Gas and Petrochemicals, Oslo, 0553, Norway","Industrial robots, designed for performing operations quickly, repeatedly and accurately have a long heritage in the manufacturing industry, operating in relatively static environments and in large numbers. Trends in the oil and gas industry to improve safety and efficiency and reduce environmental impact suggest the use of industrial robotics. New developments in regions difficult or dangerous for humans to work in could be enabled with maintenance, inspection and repairs carried out by remotely-controlled industrial robots. This new application area highlights some difficulties with today's robots, as they do not adapt well to dynamic environments, do not offer rich human-robot interaction and are not simple for end-users to program. In addition, the oil and gas context presents a challenging work environment for robots as they are exposed to variable and often extreme weather and need to be safe for use alongside explosive hydrocarbons. As robots are introduced, issues of trust and accountability come to the fore as well as how they fit into organisational structures. If robots have too little autonomy, human operators will waste time attending to robots instead of attending to their work tasks. If robots are highly autonomous, situational awareness of plant activity is diminished. A balance needs to be struck to find a level of autonomy suitable for the task, the realistic capabilities of the automation, and the need to actively engage human operators in a constructive fashion. These issues also relate to what form the interface takes for remote or co-located robot control, as well as how information and activity is represented for remote operators. The contribution of this paper is a discussion of issues relating to human-robot interaction for future industrial robotics, in particular for the oil and gas industry. ©2010 IEEE.",,Conference Paper,Scopus,2-s2.0-78651494663
"Vu Q.H., Lupu M., Ooi B.C.",Peer-to-peer computing: Principles and applications,2010,Peer-to-Peer Computing: Principles and Applications,,,,1,317,,,10.1007/978-3-642-03514-2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890010890&partnerID=40&md5=8f4a7188681d414491faeb41b168b9b4,"Institute for Infocomm Research (IR), South Tower, 1 Fusionopolis Way #21-01 Connexis, Singapore 138632, Singapore; Information Retrieval Facility (IRF), Operngasse 20b, 1040 Wien, Austria; Department Computer Science, School of Computing, National University of Singapore, Computing Drive, Singapore 117590, Singapore","Vu, Q.H., Institute for Infocomm Research (IR), South Tower, 1 Fusionopolis Way #21-01 Connexis, Singapore 138632, Singapore; Lupu, M., Information Retrieval Facility (IRF), Operngasse 20b, 1040 Wien, Austria; Ooi, B.C., Department Computer Science, School of Computing, National University of Singapore, Computing Drive, Singapore 117590, Singapore","Peer-to-peer (P2P) technology, or peer computing, is a paradigm that is viewed as a potential technology for redesigning distributed architectures and, consequently, distributed processing. Yet the scale and dynamism that characterize P2P systems demand that we reexamine traditional distributed technologies. A paradigm shift that includes self-reorganization, adaptation and resilience is called for. On the other hand, the increased computational power of such networks opens up completely new applications, such as in digital content sharing, scientific computation, gaming, or collaborative work environments. In this book, Vu, Lupu and Ooi present the technical challenges offered by P2P systems, and the means that have been proposed to address them. They provide a thorough and comprehensive review of recent advances on routing and discovery methods; load balancing and replication techniques; security, accountability and anonymity, as well as trust and reputation schemes; programming models and P2P systems and projects. Besides surveying existing methods and systems, they also compare and evaluate some of the more promising schemes. The need for such a book is evident. It provides a single source for practitioners, researchers and students on the state of the art. For practitioners, this book explains best practice, guiding selection of appropriate techniques for each application. For researchers, this book provides a foundation for the development of new and more effective methods. For students, it is an overview of the wide range of advanced techniques for realizing effective P2P systems, and it can easily be used as a text for an advanced course on Peer-to-Peer Computing and Technologies, or as a companion text for courses on various subjects, such as distributed systems, and grid and cluster computing. © Springer-Verlag Berlin Heidelberg 2010.",,Book,Scopus,2-s2.0-84890010890
"Tsui H.-D., Lee C.-Y., Lin H.-J.",From e-Inclusion to e-Collaboration: Leveraging Web 2.0 in e-Government,2010,ICIC Express Letters,4,6 A,,2249,2254,,1,,http://www.scopus.com/inward/record.url?eid=2-s2.0-78650260731&partnerID=40&md5=9a44f4730c176450cef06f99e2c560a8,"Dept. of Information Management, Chinese Culture University, 55, Hwa-Kang Rd., Yang-Ming-Shan, Taipei 11114, Taiwan; Graduate Institute of Political Science, Chinese Culture University, 55, Hwa-Kang Rd., Yang-Ming-Shan, Taipei 11114, Taiwan","Tsui, H.-D., Dept. of Information Management, Chinese Culture University, 55, Hwa-Kang Rd., Yang-Ming-Shan, Taipei 11114, Taiwan, Graduate Institute of Political Science, Chinese Culture University, 55, Hwa-Kang Rd., Yang-Ming-Shan, Taipei 11114, Taiwan; Lee, C.-Y., Dept. of Information Management, Chinese Culture University, 55, Hwa-Kang Rd., Yang-Ming-Shan, Taipei 11114, Taiwan; Lin, H.-J., Dept. of Information Management, Chinese Culture University, 55, Hwa-Kang Rd., Yang-Ming-Shan, Taipei 11114, Taiwan","Organizations begin now to understand it can rely on a high level of human interaction to gain the value of e-Collaboration and the profits. Web 2.0 technologies and services coined by Tim O'Reilly in 2004 have spread around the world at an amazing pace and are used by billions of people every day. Web 2.0 is in the use of the web technology and design that aims to facilitate creativity, information sharing, and collaboration among users. Unlike the basic publication, access, and content delivery model of Web 1.0, Web 2.0 promises to be more interactive, participatory, content rich, seamless, scalable, and service oriented. With the growing interest in Web 2.0 trends, more evidences shows that Web 2.0 helps public service organizations deliver high performance in terms of their ability to generate positive social outcomes, to serve the common good, to engage the public as co-producers of public value and to improve accountability and transparency. Blogs, wikis, chat rooms, podcasts, Really Simple Syndication (RSS) and other mashups applications are all part of this process being adopted by some e-Government sites. We can conclude that Web 2.0 applications gain in importance in today's society and this development cannot be ignored by the public sector. In this paper, we explore the implications of Web 2.0 applications on the further development of e-Government. Nevertheless, the interweaving of the physical and virtual world brings new risks and challenges; it should to take into account the potential negative issues like isolation, exclusion, copyright, violation of privacy and misuse of information by leveraging Web 2.0 as well. ICIC International © 2010 ISSN 1881-803X.",Cloud computing; E-Collaboration; E-Government; E-Inclusion; Web 2.0,Article,Scopus,2-s2.0-78650260731
